accuracy,loss,val_accuracy,val_loss
0.34622499346733093,1.7623640298843384,0.4553000032901764,1.5316358804702759
0.47714999318122864,1.4479821920394897,0.5895000100135803,1.1703312397003174
0.5359249711036682,1.3047869205474854,0.6272000074386597,1.0732827186584473
0.5716249942779541,1.204358696937561,0.6460999846458435,0.9891620874404907
0.6069750189781189,1.1270949840545654,0.6628000140190125,0.9471550583839417
0.6254249811172485,1.0726752281188965,0.680899977684021,0.918609082698822
0.6456249952316284,1.0307749509811401,0.6759999990463257,0.8968568444252014
0.6524999737739563,0.9979737401008606,0.7113999724388123,0.8158783912658691
0.6645500063896179,0.9673770666122437,0.7336999773979187,0.7726213335990906
0.6740000247955322,0.9384328126907349,0.7178999781608582,0.8026909232139587
0.6824250221252441,0.9149981737136841,0.7225000262260437,0.7804476618766785
0.6917250156402588,0.8934059739112854,0.7251999974250793,0.793158769607544
0.6987500190734863,0.8747482299804688,0.7364000082015991,0.7546262145042419
0.7036749720573425,0.8615111112594604,0.7253999710083008,0.7930429577827454
0.709850013256073,0.8441468477249146,0.7260000109672546,0.791713297367096
0.7157750129699707,0.8235485553741455,0.7383000254631042,0.7708576917648315
0.7196999788284302,0.8190348148345947,0.7689999938011169,0.672723650932312
0.7252749800682068,0.7995045185089111,0.7537999749183655,0.7186005115509033
0.7285749912261963,0.7917141914367676,0.7533000111579895,0.7122325897216797
0.7328000068664551,0.7765210270881653,0.7587000131607056,0.705878734588623
0.7339749932289124,0.7726093530654907,0.7696999907493591,0.6646997332572937
0.7406250238418579,0.759801983833313,0.7558000087738037,0.7298498749732971
0.739549994468689,0.7527329325675964,0.7642999887466431,0.6817779541015625
0.7462499737739563,0.7403556108474731,0.7723000049591064,0.6705471277236938
0.7477499842643738,0.7369961142539978,0.7649999856948853,0.6833513975143433
0.7495250105857849,0.7260266542434692,0.7591000199317932,0.7194509506225586
